id,prestige
K71,5.000
K72,5.000
K73,5.000
K74,5.000
K75,5.000
K76,5.000
K77,5.000
K78,5.000
K79,5.000
K80,5.000
K81,5.000
K82,5.000
K83,5.000
K84,5.000
K85,5.000
K86,5.000
K87,5.000
K88,5.000
K89,5.000
K90,5.000
K91,5.000
K92,5.000
K93,5.000
K94,5.000
K95,5.000
K96,5.000
K97,5.000
K98,5.000
K99,5.000
E00,5.000
E01,5.000
E02,5.000
E03,5.000
E04,5.000
E05,5.000
E06,5.000
E07,5.000
E08,5.000
E09,5.000
E10,5.000
E11,5.000
E12,5.000
E13,5.000
E14,5.000
E15,5.000
E16,5.000
E17,5.000
E18,5.000
E19,5.000
E20,5.000
E21,5.000
E22,5.000
E23,5.000
E24,5.000
E25,5.000
E26,5.000
E27,5.000
E28,5.000
E29,5.000
E30,5.000
E31,5.000
E32,5.000
E33,5.000
E34,5.000
E35,5.000
E36,5.000
E37,5.000
E38,5.000
E39,5.000
E40,5.000
E41,5.000
E42,5.000
E43,5.000
E44,5.000
E45,5.000
E46,5.000
E47,5.000
E48,5.000
E49,5.000
T00,5.000
T01,5.000
T02,5.000
T03,5.000
T04,5.000
T05,5.000
T06,5.000
T07,5.000
T08,5.000
T09,5.000
T10,5.000
T11,5.000
T12,5.000
T13,5.000
T14,5.000
T15,5.000
T16,5.000
T17,5.000
T18,5.000
T19,5.000
T20,5.000
T21,5.000
T22,5.000
T23,5.000
T24,5.000
T25,5.000
T26,5.000
T27,5.000
T28,5.000
T29,5.000
T30,5.000
T31,5.000
T32,5.000
T33,5.000
T34,5.000
T35,5.000
T36,5.000
T37,5.000
T38,5.000
T39,5.000
T40,5.000
T41,5.000
T42,5.000
T43,5.000
T44,5.000
T45,5.000
T46,5.000
T47,5.000
T48,5.000
T49,5.000
T50,5.000
T51,5.000
T52,5.000
T53,5.000
T54,5.000
T55,5.000
T56,5.000
T57,5.000
T58,5.000
T59,5.000
T60,5.000
T61,5.000
T62,5.000
T63,5.000
T64,5.000
T65,5.000
T66,5.000
T67,5.000
T68,5.000
T69,5.000
T70,5.000
T71,5.000
T72,5.000
T73,5.000
T74,5.000
D00,5.000
D01,5.000
D02,5.000
D03,5.000
D04,5.000
D05,5.000
D06,5.000
D07,5.000
D08,5.000
D09,5.000
D10,5.000
D11,5.000
D12,5.000
D13,5.000
D14,5.000
D15,5.000
D16,5.000
D17,5.000
D18,5.000
D19,5.000
D20,5.000
D21,5.000
D22,5.000
D23,5.000
D24,5.000
D25,5.000
D26,5.000
D27,5.000
D28,5.000
D29,5.000
D30,5.000
D31,5.000
D32,5.000
D33,5.000
D34,5.000
D35,5.000
D36,5.000
D37,5.000
D38,5.000
D39,5.000
D40,5.000
D41,5.000
D42,5.000
D43,5.000
D44,5.000
D45,5.000
D46,5.000
D47,5.000
D48,5.000
D49,5.000
D50,5.000
D51,5.000
D52,5.000
D53,5.000
D54,5.000
D55,5.000
D56,5.000
D57,5.000
D58,5.000
D59,5.000
D60,5.000
D61,5.000
D62,5.000
D63,5.000
D64,5.000
D65,5.000
D66,5.000
D67,5.000
D68,5.000
D69,5.000
D70,5.000
D71,5.000
D72,5.000
D73,5.000
D74,5.000
O00,0.000
O01,0.000
O02,0.000
O03,0.000
O04,0.000
O05,0.000
O06,0.000
O07,0.000
O08,0.000
O09,0.000
